"ID.x";"study";"site";"SiteBlock";"treatment.direction";"treatment.level";"treat.duration.m";"treat.duration.y";"plot.size.m";"delta.P.year";"delta.P1_rescale";"MAP_bioclim";"MAP_rescale";"MAT_bioclim";"MAT_rescale";"LRR_gammaS";"LRR_gammaSPie"
"Holub_2013c.csv";"Holub_2013";"mountain";"mountain - A";"decr.P";1;"730";2;0.5;-50;-0.749507163681916;978;0.657209821986701;5.6;0.134506030815807;0;0.0133896436376563
"Holub_2013d.csv";"Holub_2013";"mountain";"mountain - A";"incr.P";2;"730";2;0.5;50;0.674777276914691;978;0.657209821986701;5.6;0.134506030815807;0;0.0104102396234962
"Kahmen_2005.csv";"Kahmen_2005";"SG";"SG - A";"decr.P";1;"365";1;2;-20;-0.322221831502934;785;0.393252647698565;6.4;0.172807144899933;-0.0402738991379401;0.0160128439139717
"Lauenroth_2014.csv";"Lauenroth_2014";"SGS-LTER.Field.Station";"SGS-LTER.Field.Station - A";"incr.P";1;"5110";14;0.25;95.63;1.32467826715892;366;-0.179794274719721;8.4;0.268559930110246;0.154150679827258;0.234097147529231
"Ludewig_2012a.csv";"Ludewig_2012";"Kuhlhausen";"Kuhlhausen - A";"decr.P";1;"1095";3;0.25;-14.76143141;-0.247609714165583;540;0.0581774782654384;8.9;0.292498126412825;0.0571584138399484;-0.0189927146015909
"Ludewig_2012b.csv";"Ludewig_2012";"Sueckau";"Sueckau - A";"decr.P";1;"1095";3;1.25;-13.00904977;-0.222650815127192;610;0.153913240960617;8.7;0.282922847891793;0.126751705639144;-0.0356608006480937
"Mariotte_2013.csv";"Mariotte_2013";"Agroscope Changins-W€adenswil Research Station,";"Agroscope Changins-W€adenswil Research Station, - A";"decr.P";1;"1095";3;0.25;-20;-0.322221831502934;1443;1.29316881703325;5.3;0.12014311303426;0.113328685307003;-0.0357024666886763
"Miranda_2009a.csv";"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";"decr.P";1;"210";0.5;0.08;-22.4;-0.356404658077253;226;-0.371265800110079;18;0.728173299119751;-0.0741079721537217;0.025617609244687
"Miranda_2009a.csv";"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";"decr.P";3;"210";0.5;0.08;-22.4;-0.356404658077253;226;-0.371265800110079;18;0.728173299119751;0.485507815781701;-0.269935956140975
"Miranda_2009a.csv";"Miranda_2009";"Cabo_de_Gata";"Cabo_de_Gata - A";"decr.P";2;"210";0.5;0.08;-22.4;-0.356404658077253;226;-0.371265800110079;18;0.728173299119751;-0.200670695462151;0.0712692677843788
