"ID.x";"latitude";"longitude";"study";"site";"SiteBlock";"replicate";"treatment.direction";"treatment.level";"grouping.x";"treat.duration.y";"duration_rescale";"size.local";"size.gamma";"N.replicates";"delta.P.year";"delta.P1_rescale";"MAP_bioclim";"MAP_chelsa";"MAP_rescale";"PET_rescale";"PET_chelsa";"LRR_cum.abs_gamma"
"Gilgen_2009b.csv";47.11583333;8.13778;"Gilgen_2009";"Fruebuel";"Fruebuel - A";1;"decr.P";"1";"2007_2_Gilgen_2009b;Fruebuel;P;decr.P;1;2007;2";2;-0.349380378386437;0.2;"1.2";6;36;0.491419458491973;1185;1574;1.38925010931977;0.0729947513484234;770.7020702;-0.0673954887167163
"Grime_2008a.csv";53.23333333;-1.9;"Grime_2008";"Buxton";"Buxton - A";1;"decr.P";"1";"2009_Grime_2008a;Buxton;P;decr.P;1;2009;2";16;0.52684457888703;2.5;"12.5";5;-11;-0.185849869703891;1149;1001;0.648190734836457;-0.163801484427418;591.3484254;-0.325833838416157
"Grime_2008b.csv";53.23333333;-1.9;"Grime_2008";"Buxton";"Buxton - A";1;"incr.P";"2";"2009_Grime_2008b;Buxton;P;incr.P;2;2009;2";16;0.52684457888703;2.5;"12.5";5;7;0.0735298730094186;1149;1001;0.648190734836457;-0.163801484427418;591.3484254;0.0145987994211527
"Hallett_2017a.csv";39.25;-121.28333;"Hallett_2017";"SFREC";"SFREC - B";1;"decr.P";"1";"2015_3.1_Hallet_2017a;SFREC;P;decr.P;1;2015;2";2;-0.349380378386437;0.25;"2";8;-45;-0.67578938371792;934;1034;0.690869546979475;0.834311207957659;1347.33658;-0.0355799324326256
"Hallett_2017a.csv";39.25;-121.28333;"Hallett_2017";"SFREC";"SFREC - E";2;"decr.P";"1";"2015_3_Hallet_2017a;SFREC;P;decr.P;1;2015;2";2;-0.349380378386437;0.25;"2";8;-45;-0.67578938371792;934;1034;0.690869546979475;0.834311207957659;1347.33658;-0.50275292604088
"Hallett_2017b.csv";39.25;-121.28333;"Hallett_2017";"SFREC";"SFREC - C";2;"incr.P";"2";"2015_3.1_Hallet_2017b;SFREC;P;incr.P;2;2015;2";2;-0.349380378386437;0.25;"2";8;23;0.304089644310138;934;1034;0.690869546979475;0.834311207957659;1347.33658;-0.00152091284070721
"Hallett_2017b.csv";39.25;-121.28333;"Hallett_2017";"SFREC";"SFREC - A";1;"incr.P";"2";"2015_3_Hallet_2017b;SFREC;P;incr.P;2;2015;2";2;-0.349380378386437;0.25;"2";8;23;0.304089644310138;934;1034;0.690869546979475;0.834311207957659;1347.33658;0.0969667235293574
"Harpole_2007.csv";33.624;-117.755;"Harpole_2007";"Irvine.Ranch.Land.Reserve";"Irvine.Ranch.Land.Reserve - A";1;"incr.P";"1";"2006_Harpole_2007;Irvine.Ranch.Land.Reserve;P;incr.P;1;2006;2";0.2;-0.462037872893025;0.1125;"0.5625";5;31;0.419369529960498;322;285;-0.277810158933268;0.750479237201263;1283.840767;0.206121780189613
"Holub_2013a.csv";48.81666667;16;"Holub_2013";"lowland";"lowland - A";1;"decr.P";"1";"2008_Holub_2013a;lowland;P;decr.P;1;2008;2";2;-0.349380378386437;0.5;"2";4;-50;-0.747839312249394;621;495;-0.00621771802315324;0.0886653268099753;782.5712404;0.461736013569467
"Holub_2013b.csv";48.81666667;16;"Holub_2013";"lowland";"lowland - A";1;"incr.P";"2";"2008_Holub_2013b;lowland;P;incr.P;2;2008;2";2;-0.349380378386437;0.5;"2";4;50;0.693159258380102;621;495;-0.00621771802315324;0.0886653268099753;782.5712404;0.160120846813761
