"ID.x";"latitude";"longitude";"study";"site";"SiteBlock";"replicate";"treatment.direction";"treatment.level";"grouping.x";"treat.duration.y";"duration_rescale";"size.local";"size.gamma";"N.replicates";"delta.P.year";"delta.P1_rescale";"MAP_chelsa";"MAP_rescale";"PET_rescale";"PET_chelsa";"LRR_cum.abs"
"Chimner_2010b.csv";41;-104;"Chimner_2010";"HPGRS";"HPGRS - A";1;"incr.P";"2";"2005_2_Chimner_2010b;HPGRS;P;incr.P;2;2005;2";2;-0.349380378386437;1;"3";3;35;0.477009472785678;361;-0.17951956127056;0.464764795003989;1067.43561;0.0196202715762643
"Chimner_2010b.csv";41;-104;"Chimner_2010";"HPGRS";"HPGRS - A";2;"incr.P";"2";"2005_2_Chimner_2010b;HPGRS;P;incr.P;2;2005;2";2;-0.349380378386437;1;"3";3;35;0.477009472785678;361;-0.17951956127056;0.464764795003989;1067.43561;0.215528850446166
"Chimner_2010b.csv";41;-104;"Chimner_2010";"HPGRS";"HPGRS - A";3;"incr.P";"2";"2005_2_Chimner_2010b;HPGRS;P;incr.P;2;2005;2";2;-0.349380378386437;1;"3";3;35;0.477009472785678;361;-0.17951956127056;0.464764795003989;1067.43561;0.154803800892919
"Chimner_2010c.csv";41;-104;"Chimner_2010";"HPGRS";"HPGRS - A";1;"incr.P";"3";"2005_2_Chimner_2010c;HPGRS;P;incr.P;3;2005;2";2;-0.349380378386437;1;"3";3;59;0.822849129736757;361;-0.17951956127056;0.464764795003989;1067.43561;-0.648276090331365
"Chimner_2010c.csv";41;-104;"Chimner_2010";"HPGRS";"HPGRS - A";2;"incr.P";"3";"2005_2_Chimner_2010c;HPGRS;P;incr.P;3;2005;2";2;-0.349380378386437;1;"3";3;59;0.822849129736757;361;-0.17951956127056;0.464764795003989;1067.43561;0.000556140676211569
"Chimner_2010c.csv";41;-104;"Chimner_2010";"HPGRS";"HPGRS - A";3;"incr.P";"3";"2005_2_Chimner_2010c;HPGRS;P;incr.P;3;2005;2";2;-0.349380378386437;1;"3";3;59;0.822849129736757;361;-0.17951956127056;0.464764795003989;1067.43561;0.04391102779873
"Collins_2017.csv";34.33333333;-106.71667;"Collins_2017";"SNWR";"SNWR - A";1;"incr.P";"1";"2016_2_Collins_2017;SNWR;P;incr.P;1;2016;2";10;0.151319597198402;1;"5";5;20;0.260859687191253;291;-0.270050374907265;0.791405307022072;1314.838894;-0.274725166646155
"Collins_2017.csv";34.33333333;-106.71667;"Collins_2017";"SNWR";"SNWR - A";2;"incr.P";"1";"2016_2_Collins_2017;SNWR;P;incr.P;1;2016;2";10;0.151319597198402;1;"5";5;20;0.260859687191253;291;-0.270050374907265;0.791405307022072;1314.838894;-0.839779717338102
"Collins_2017.csv";34.33333333;-106.71667;"Collins_2017";"SNWR";"SNWR - A";3;"incr.P";"1";"2016_2_Collins_2017;SNWR;P;incr.P;1;2016;2";10;0.151319597198402;1;"5";5;20;0.260859687191253;291;-0.270050374907265;0.791405307022072;1314.838894;0.30213196263284
"Collins_2017.csv";34.33333333;-106.71667;"Collins_2017";"SNWR";"SNWR - A";4;"incr.P";"1";"2016_2_Collins_2017;SNWR;P;incr.P;1;2016;2";10;0.151319597198402;1;"5";5;20;0.260859687191253;291;-0.270050374907265;0.791405307022072;1314.838894;-0.254207530255456
"Collins_2017.csv";34.33333333;-106.71667;"Collins_2017";"SNWR";"SNWR - A";5;"incr.P";"1";"2016_2_Collins_2017;SNWR;P;incr.P;1;2016;2";10;0.151319597198402;1;"5";5;20;0.260859687191253;291;-0.270050374907265;0.791405307022072;1314.838894;0.519505157485713
